plan_id,pose_index,x,y
1,0,-2.0019,1.0049
1,1,-1.9669,0.9549
1,2,-1.9327,0.9049
1,3,-1.8998,0.8549
1,4,-1.8683,0.8049
1,5,-1.8374,0.7549
1,6,-1.8062,0.7049
1,7,-1.7739,0.6549
1,8,-1.7406,0.6049
1,9,-1.7066,0.5549
1,10,-1.6726,0.5049
1,11,-1.6392,0.4549
1,12,-1.6067,0.4049
1,13,-1.5752,0.3549
1,14,-1.5448,0.3049
1,15,-1.516,0.2549
1,16,-1.4897,0.2049
1,17,-1.4669,0.1549
1,18,-1.4482,0.1049
1,19,-1.4337,0.0549
1,20,-1.4231,0.0049
1,21,-1.4156,-0.0451
1,22,-1.4105,-0.0951
1,23,-1.4072,-0.1451
1,24,-1.4051,-0.1951
1,25,-1.4037,-0.2451
1,26,-1.4029,-0.2951
1,27,-1.4023,-0.3451
1,28,-1.4019,-0.3951
1,29,-1.4015,-0.4451
1,30,-1.401,-0.495
1,31,-1.4002,-0.545
1,32,-1.399,-0.5948
1,33,-1.3971,-0.6446
1,34,-1.3942,-0.6943
1,35,-1.39,-0.7437
1,36,-1.384,-0.7928
1,37,-1.3757,-0.8414
1,38,-1.3647,-0.8894
1,39,-1.3506,-0.9366
1,40,-1.333,-0.9829
1,41,-1.3116,-1.0281
1,42,-1.2857,-1.0726
1,43,-1.2551,-1.1166
1,44,-1.2199,-1.1608
1,45,-1.1807,-1.2053
1,46,-1.1383,-1.2502
1,47,-1.0933,-1.2951
1,48,-1.0466,-1.3396
1,49,-0.9987,-1.3826
1,50,-0.95,-1.4233
1,51,-0.9008,-1.4604
1,52,-0.8513,-1.4928
1,53,-0.8016,-1.5192
1,54,-0.7517,-1.5389
1,55,-0.7018,-1.5513
1,56,-0.6519,-1.5562
1,57,-0.6019,-1.5536
1,58,-0.5519,-1.5438
1,59,-0.5019,-1.5274
1,60,-0.4519,-1.505
1,61,-0.4019,-1.4776
1,62,-0.3519,-1.4463
1,63,-0.3019,-1.4117
1,64,-0.2519,-1.3747
1,65,-0.2019,-1.3358
1,66,-0.1519,-1.2955
1,67,-0.1019,-1.2543
1,68,-0.0519,-1.2125
1,69,-0.0019,-1.17
1,70,0.0481,-1.1265
1,71,0.0981,-1.0819
1,72,0.1481,-1.0361
1,73,0.1981,-0.9892
1,74,0.2481,-0.9413
1,75,0.2981,-0.8928
1,76,0.3481,-0.8438
1,77,0.3981,-0.7946
1,78,0.4481,-0.7452
1,79,0.4981,-0.6958
1,80,0.5481,-0.6465
1,81,0.5981,-0.5976
1,82,0.6481,-0.5492
1,83,0.6981,-0.5016
1,84,0.7481,-0.455
1,85,0.7981,-0.4096
1,86,0.848,-0.3656
1,87,0.898,-0.3229
1,88,0.9479,-0.2814
1,89,0.9978,-0.2405
1,90,1.0476,-0.1998
1,91,1.0972,-0.1589
1,92,1.1466,-0.1173
1,93,1.1956,-0.0747
1,94,1.244,-0.0307
1,95,1.2915,0.0147
1,96,1.3375,0.0614
1,97,1.3816,0.109
1,98,1.4232,0.1575
1,99,1.4614,0.2065
1,100,1.4959,0.2558
1,101,1.5262,0.3054
1,102,1.5524,0.3552
1,103,1.5746,0.4051
1,104,1.5931,0.455
1,105,1.6082,0.5049
1,106,1.6202,0.5549
1,107,1.6293,0.6049
1,108,1.6362,0.6549
1,109,1.6413,0.7049
1,110,1.6452,0.7549
1,111,1.6486,0.8049
1,112,1.6518,0.8549
1,113,1.6554,0.9049
1,114,1.6596,0.9549
1,115,1.6646,1.0049
1,116,1.6701,1.0549
1,117,1.6759,1.1049
1,118,1.6815,1.1549
1,119,1.6864,1.2049
1,120,1.6904,1.2549
1,121,1.6938,1.3049
1,122,1.6967,1.3549
1,123,1.6995,1.4049
1,124,1.7026,1.4549
1,125,1.7065,1.5049
1,126,1.7117,1.5549
1,127,1.7184,1.6049
1,128,1.7269,1.6549
1,129,1.737,1.7049
1,130,1.7481,1.7549
2,0,-1.8519,0.8549
2,1,-1.8169,0.8049
2,2,-1.7828,0.7549
2,3,-1.7501,0.7049
2,4,-1.7189,0.6549
2,5,-1.6884,0.6049
2,6,-1.6578,0.5549
2,7,-1.6267,0.5049
2,8,-1.5952,0.4549
2,9,-1.564,0.4049
2,10,-1.5342,0.3549
2,11,-1.507,0.3049
2,12,-1.483,0.2549
2,13,-1.4626,0.2049
2,14,-1.4459,0.1549
2,15,-1.4328,0.1049
2,16,-1.4229,0.0549
2,17,-1.4158,0.0049
2,18,-1.4108,-0.0451
2,19,-1.4075,-0.0951
2,20,-1.4053,-0.1451
2,21,-1.4039,-0.1951
2,22,-1.4031,-0.2451
2,23,-1.4025,-0.2951
2,24,-1.4021,-0.3451
2,25,-1.4018,-0.3951
2,26,-1.4014,-0.4451
2,27,-1.4009,-0.495
2,28,-1.4001,-0.545
2,29,-1.3989,-0.5948
