plan_id,pose_index,x,y
1,0,-2.9519,2.1549
1,1,-2.9019,2.1049
1,2,-2.8519,2.0549
1,3,-2.8019,2.0049
1,4,-2.7519,1.9549
1,5,-2.7019,1.9049
1,6,-2.6519,1.8549
1,7,-2.6019,1.8049
1,8,-2.5519,1.7549
1,9,-2.5019,1.7049
1,10,-2.4519,1.6549
1,11,-2.4019,1.6049
1,12,-2.3519,1.5549
1,13,-2.3019,1.5049
1,14,-2.2519,1.4549
1,15,-2.2019,1.4049
1,16,-2.1519,1.3549
1,17,-2.102,1.3049
1,18,-2.052,1.2549
1,19,-2.0021,1.2049
1,20,-1.9523,1.1549
1,21,-1.9026,1.1049
1,22,-1.8531,1.0549
1,23,-1.804,1.0049
1,24,-1.7554,0.9549
1,25,-1.7077,0.9049
1,26,-1.6613,0.8549
1,27,-1.617,0.8049
1,28,-1.5754,0.7549
1,29,-1.5376,0.7049
1,30,-1.5044,0.6549
1,31,-1.4766,0.6049
1,32,-1.4544,0.5549
1,33,-1.4376,0.5049
1,34,-1.4254,0.4549
1,35,-1.417,0.4049
1,36,-1.4113,0.3549
1,37,-1.4077,0.3049
1,38,-1.4054,0.2549
1,39,-1.404,0.2049
1,40,-1.4031,0.1549
1,41,-1.4026,0.1049
1,42,-1.4023,0.0549
1,43,-1.4021,0.0049
1,44,-1.402,-0.0451
1,45,-1.402,-0.0951
1,46,-1.4019,-0.1451
1,47,-1.4019,-0.1951
1,48,-1.4019,-0.2451
1,49,-1.4018,-0.2951
1,50,-1.4017,-0.3451
1,51,-1.4016,-0.3951
1,52,-1.4013,-0.4451
1,53,-1.4008,-0.495
1,54,-1.4001,-0.545
1,55,-1.3989,-0.5948
1,56,-1.3971,-0.6446
1,57,-1.3942,-0.6943
1,58,-1.39,-0.7437
1,59,-1.384,-0.7928
1,60,-1.3757,-0.8414
1,61,-1.3647,-0.8894
1,62,-1.3506,-0.9366
1,63,-1.333,-0.9829
1,64,-1.3116,-1.0281
1,65,-1.2857,-1.0726
1,66,-1.2551,-1.1166
1,67,-1.2199,-1.1608
1,68,-1.1807,-1.2053
1,69,-1.1383,-1.2502
1,70,-1.0933,-1.2951
1,71,-1.0466,-1.3396
1,72,-0.9987,-1.3826
1,73,-0.95,-1.4233
1,74,-0.9008,-1.4604
1,75,-0.8513,-1.4928
1,76,-0.8016,-1.5192
1,77,-0.7517,-1.5389
1,78,-0.7018,-1.5513
1,79,-0.6519,-1.5562
1,80,-0.6019,-1.5536
1,81,-0.5519,-1.5438
1,82,-0.5019,-1.5274
1,83,-0.4519,-1.505
1,84,-0.4019,-1.4776
1,85,-0.3519,-1.4463
1,86,-0.3019,-1.4117
1,87,-0.2519,-1.3747
1,88,-0.2019,-1.3358
1,89,-0.1519,-1.2955
