plan_id,pose_index,x,y
1,0,-2.8519,2.2549
1,1,-2.8019,2.2049
1,2,-2.7519,2.1549
1,3,-2.7019,2.1049
1,4,-2.6519,2.0549
1,5,-2.6019,2.0049
1,6,-2.5519,1.9549
1,7,-2.5019,1.9049
1,8,-2.4519,1.8549
1,9,-2.4019,1.8049
1,10,-2.3519,1.7549
1,11,-2.3019,1.7049
1,12,-2.2519,1.6549
1,13,-2.2019,1.6049
1,14,-2.1519,1.5549
1,15,-2.102,1.5049
1,16,-2.052,1.4549
1,17,-2.0021,1.4049
1,18,-1.9523,1.3549
1,19,-1.9026,1.3049
1,20,-1.8531,1.2549
1,21,-1.804,1.2049
1,22,-1.7554,1.1549
1,23,-1.7077,1.1049
1,24,-1.6613,1.0549
1,25,-1.617,1.0049
1,26,-1.5754,0.9549
1,27,-1.5376,0.9049
1,28,-1.5044,0.8549
1,29,-1.4766,0.8049
1,30,-1.4544,0.7549
1,31,-1.4376,0.7049
1,32,-1.4254,0.6549
1,33,-1.417,0.6049
1,34,-1.4113,0.5549
1,35,-1.4077,0.5049
1,36,-1.4054,0.4549
1,37,-1.404,0.4049
1,38,-1.4031,0.3549
1,39,-1.4026,0.3049
1,40,-1.4023,0.2549
1,41,-1.4021,0.2049
1,42,-1.402,0.1549
1,43,-1.402,0.1049
1,44,-1.4019,0.0549
1,45,-1.4019,0.0049
1,46,-1.4019,-0.0451
1,47,-1.4019,-0.0951
1,48,-1.4019,-0.1451
1,49,-1.4019,-0.1951
1,50,-1.4018,-0.2451
1,51,-1.4018,-0.2951
1,52,-1.4017,-0.3451
1,53,-1.4015,-0.3951
1,54,-1.4012,-0.445
1,55,-1.4007,-0.495
1,56,-1.3998,-0.5448
1,57,-1.3984,-0.5946
1,58,-1.3962,-0.6443
1,59,-1.3928,-0.6937
1,60,-1.3877,-0.7428
1,61,-1.3803,-0.7915
1,62,-1.37,-0.8395
1,63,-1.3562,-0.8867
1,64,-1.3384,-0.9329
1,65,-1.3162,-0.9782
1,66,-1.2894,-1.0227
1,67,-1.2579,-1.0669
1,68,-1.2219,-1.1113
1,69,-1.1821,-1.1562
1,70,-1.1391,-1.2016
1,71,-1.0939,-1.2475
1,72,-1.047,-1.2932
1,73,-0.999,-1.3383
1,74,-0.9502,-1.3817
1,75,-0.9009,-1.4226
1,76,-0.8513,-1.4596
1,77,-0.8016,-1.4914
1,78,-0.7517,-1.5168
1,79,-0.7018,-1.5345
1,80,-0.6519,-1.5441
1,81,-0.6019,-1.5452
1,82,-0.5519,-1.5382
1,83,-0.5019,-1.5237
1,84,-0.4519,-1.5027
1,85,-0.4019,-1.4762
1,86,-0.3519,-1.4454
1,87,-0.3019,-1.4112
1,88,-0.2519,-1.3744
1,89,-0.2019,-1.3356
1,90,-0.1519,-1.2954
1,91,-0.1019,-1.2542
1,92,-0.0519,-1.2125
1,93,-0.0019,-1.17
1,94,0.0481,-1.1265
1,95,0.0981,-1.0819
1,96,0.1481,-1.0361
1,97,0.1981,-0.9892
1,98,0.2481,-0.9413
1,99,0.2981,-0.8928
1,100,0.3481,-0.8438
1,101,0.3981,-0.7946
1,102,0.4481,-0.7452
1,103,0.4981,-0.6958
1,104,0.5481,-0.6465
1,105,0.5981,-0.5976
1,106,0.6481,-0.5492
1,107,0.6981,-0.5016
1,108,0.7481,-0.455
1,109,0.7981,-0.4096
1,110,0.848,-0.3656
1,111,0.898,-0.3229
1,112,0.9479,-0.2814
1,113,0.9978,-0.2405
1,114,1.0476,-0.1998
1,115,1.0972,-0.1589
1,116,1.1466,-0.1173
1,117,1.1956,-0.0747
1,118,1.244,-0.0307
1,119,1.2915,0.0147
1,120,1.3375,0.0614
1,121,1.3816,0.109
1,122,1.4232,0.1575
1,123,1.4614,0.2065
1,124,1.4959,0.2558
1,125,1.5262,0.3054
1,126,1.5524,0.3552
1,127,1.5746,0.4051
1,128,1.5931,0.455
1,129,1.6082,0.5049
1,130,1.6202,0.5549
1,131,1.6293,0.6049
1,132,1.6362,0.6549
1,133,1.6413,0.7049
1,134,1.6452,0.7549
1,135,1.6486,0.8049
1,136,1.6518,0.8549
1,137,1.6554,0.9049
1,138,1.6596,0.9549
1,139,1.6646,1.0049
1,140,1.6701,1.0549
1,141,1.6759,1.1049
1,142,1.6815,1.1549
1,143,1.6864,1.2049
1,144,1.6904,1.2549
1,145,1.6938,1.3049
1,146,1.6967,1.3549
1,147,1.6995,1.4049
1,148,1.7026,1.4549
1,149,1.7065,1.5049
1,150,1.7117,1.5549
1,151,1.7184,1.6049
1,152,1.7269,1.6549
1,153,1.737,1.7049
1,154,1.7481,1.7549
2,0,-2.7019,2.1049
2,1,-2.6519,2.0549
2,2,-2.6019,2.0049
2,3,-2.5519,1.9549
2,4,-2.5019,1.9049
2,5,-2.4519,1.8549
2,6,-2.4019,1.8049
2,7,-2.3519,1.7549
2,8,-2.3019,1.7049
2,9,-2.2519,1.6549
2,10,-2.2019,1.6049
2,11,-2.1519,1.5549
2,12,-2.102,1.5049
2,13,-2.052,1.4549
2,14,-2.0021,1.4049
2,15,-1.9523,1.3549
2,16,-1.9026,1.3049
2,17,-1.8531,1.2549
2,18,-1.804,1.2049
2,19,-1.7554,1.1549
2,20,-1.7077,1.1049
2,21,-1.6613,1.0549
2,22,-1.617,1.0049
2,23,-1.5754,0.9549
2,24,-1.5376,0.9049
2,25,-1.5044,0.8549
2,26,-1.4766,0.8049
2,27,-1.4544,0.7549
2,28,-1.4376,0.7049
2,29,-1.4254,0.6549
2,30,-1.417,0.6049
2,31,-1.4113,0.5549
2,32,-1.4077,0.5049
2,33,-1.4054,0.4549
2,34,-1.404,0.4049
2,35,-1.4031,0.3549
2,36,-1.4026,0.3049
2,37,-1.4023,0.2549
2,38,-1.4021,0.2049
2,39,-1.402,0.1549
2,40,-1.402,0.1049
2,41,-1.4019,0.0549
2,42,-1.4019,0.0049
2,43,-1.4019,-0.0451
2,44,-1.4019,-0.0951
2,45,-1.4019,-0.1451
2,46,-1.4019,-0.1951
2,47,-1.4018,-0.2451
2,48,-1.4018,-0.2951
2,49,-1.4017,-0.3451
2,50,-1.4015,-0.3951
2,51,-1.4012,-0.445
2,52,-1.4007,-0.495
2,53,-1.3998,-0.5448
2,54,-1.3984,-0.5946
2,55,-1.3962,-0.6443
2,56,-1.3928,-0.6937
2,57,-1.3877,-0.7428
2,58,-1.3803,-0.7915
2,59,-1.37,-0.8395
2,60,-1.3562,-0.8867
2,61,-1.3384,-0.9329
2,62,-1.3162,-0.9782
2,63,-1.2894,-1.0227
2,64,-1.2579,-1.0669
2,65,-1.2219,-1.1113
2,66,-1.1821,-1.1562
2,67,-1.1391,-1.2016
2,68,-1.0939,-1.2475
2,69,-1.047,-1.2932
2,70,-0.999,-1.3383
2,71,-0.9502,-1.3817
2,72,-0.9009,-1.4226
2,73,-0.8513,-1.4596
2,74,-0.8016,-1.4914
2,75,-0.7517,-1.5168
2,76,-0.7018,-1.5345
2,77,-0.6519,-1.5441
2,78,-0.6019,-1.5452
2,79,-0.5519,-1.5382
2,80,-0.5019,-1.5237
2,81,-0.4519,-1.5027
2,82,-0.4019,-1.4762
2,83,-0.3519,-1.4454
2,84,-0.3019,-1.4112
2,85,-0.2519,-1.3744
2,86,-0.2019,-1.3356
2,87,-0.1519,-1.2954
2,88,-0.1019,-1.2542
2,89,-0.0519,-1.2125
2,90,-0.0019,-1.17
2,91,0.0481,-1.1265
2,92,0.0981,-1.0819
2,93,0.1481,-1.0361
2,94,0.1981,-0.9892
2,95,0.2481,-0.9413
2,96,0.2981,-0.8928
2,97,0.3481,-0.8438
2,98,0.3981,-0.7946
2,99,0.4481,-0.7452
2,100,0.4981,-0.6958
2,101,0.5481,-0.6465
2,102,0.5981,-0.5976
2,103,0.6481,-0.5492
2,104,0.6981,-0.5016
2,105,0.7481,-0.455
2,106,0.7981,-0.4096
2,107,0.848,-0.3656
2,108,0.898,-0.3229
2,109,0.9479,-0.2814
2,110,0.9978,-0.2405
2,111,1.0476,-0.1998
2,112,1.0972,-0.1589
2,113,1.1466,-0.1173
2,114,1.1956,-0.0747
2,115,1.244,-0.0307
2,116,1.2915,0.0147
2,117,1.3375,0.0614
2,118,1.3816,0.109
2,119,1.4232,0.1575
2,120,1.4614,0.2065
2,121,1.4959,0.2558
2,122,1.5262,0.3054
2,123,1.5524,0.3552
2,124,1.5746,0.4051
2,125,1.5931,0.455
2,126,1.6082,0.5049
2,127,1.6202,0.5549
2,128,1.6293,0.6049
2,129,1.6362,0.6549
2,130,1.6413,0.7049
2,131,1.6452,0.7549
2,132,1.6486,0.8049
2,133,1.6518,0.8549
2,134,1.6554,0.9049
2,135,1.6596,0.9549
2,136,1.6646,1.0049
2,137,1.6701,1.0549
2,138,1.6759,1.1049
2,139,1.6815,1.1549
2,140,1.6864,1.2049
2,141,1.6904,1.2549
2,142,1.6938,1.3049
2,143,1.6967,1.3549
2,144,1.6995,1.4049
2,145,1.7026,1.4549
2,146,1.7065,1.5049
2,147,1.7117,1.5549
2,148,1.7184,1.6049
2,149,1.7269,1.6549
2,150,1.737,1.7049
2,151,1.7481,1.7549
3,0,-2.4019,1.9549
3,1,-2.3519,1.9049
3,2,-2.3019,1.8549
3,3,-2.2519,1.8049
3,4,-2.2019,1.7549
3,5,-2.1519,1.7049
3,6,-2.102,1.6549
3,7,-2.052,1.6049
3,8,-2.0021,1.5549
3,9,-1.9523,1.5049
3,10,-1.9026,1.4549
3,11,-1.8531,1.4049
3,12,-1.804,1.3549
3,13,-1.7554,1.3049
3,14,-1.7077,1.2549
3,15,-1.6613,1.2049
3,16,-1.617,1.1549
3,17,-1.5754,1.1049
3,18,-1.5376,1.0549
3,19,-1.5044,1.0049
3,20,-1.4766,0.9549
3,21,-1.4544,0.9049
3,22,-1.4376,0.8549
3,23,-1.4254,0.8049
3,24,-1.417,0.7549
3,25,-1.4113,0.7049
3,26,-1.4077,0.6549
3,27,-1.4054,0.6049
3,28,-1.404,0.5549
